island,region_order,sheet,site_no,site_candidates,site_lat,site_lon,individual_id,corolla_id,cx,cy,source_component_id,split_piece,split_status,corolla_len_mm,corolla_width_mm,wl_ratio,fold_check,merge_check,fragment_check,corolla_area_mm2,guide_area_mm2,guide_cov_pct,n_spots,spot_density_cm2,guide_extent_rel,guide_present,brown_frac,degraded_flag,prov_mouth_diam_mm,prov_tube_depth_mm,prov_n_lobes,solidity,aspect,exclude,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_cov_strong_pct,guide_cov_weak_recovered_pct,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x,corolla_length_ruler_mm,corolla_max_span_ruler_mm,corolla_area_ruler_mm2,flat_lobe_length_mm,flat_tube_length_mm,flat_throat_span_mm,flat_mid_tube_width_mm,flat_basal_tube_width_mm,prov_mouth_diameter_ruler_mm,prov_entrance_area_mm2,mouth_to_tube_length_ratio,flat_tube_taper_ratio,flat_tube_slenderness,guide_cov_tube_pct,guide_cov_lobes_pct,flat_incision_rel,flat_throat_openness,guide_centroid_rel,flat_n_lobes,fold_state_auto,mouth_proxy_assumption,orientation_confidence,orientation_source,sinus_source,visitor_trait_qc,fold_state_reviewed,visible_lobes_reviewed,fold_state_source,fold_width_area_correction_factor,corolla_area_unfolded_est_mm2,max_span_unfolded_est_mm,throat_span_unfolded_est_mm,mid_tube_width_unfolded_est_mm,basal_tube_width_unfolded_est_mm,prov_mouth_diameter_reviewed_mm,prov_entrance_area_reviewed_mm2,fold_state_auto_original
Oshima,1,oshima10~13,,10|11|12|13,,,,12,389,2335,14,1,shimask_red_outline_from_raw_difference,33.36,23.28,0.698,,check,,611.5,240.408,39.314,132,21.586,0.954,1,0.0,0,5.04,30.95,9,0.951,1.35,,65,67,6,25.095,14.22,1.8213,0.2115,163.1754,0.0,958,304.473,49.791,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,33.359,22.775,611.562,4.003,29.271,22.013,21.505,14.563,7.007,38.562,0.2394,1.5116,1.3611,42.06,5.53,0.12,0.9665,0.4802,9,opened_or_broad,flat_span_over_pi,0.1655,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima10~13,,10|11|12|13,,,,14,1464,2366,13,1,shimask_red_outline_from_raw_difference,42.42,26.42,0.623,,check,,903.6,341.663,37.81,213,23.572,0.968,1,0.003,0,7.73,35.86,4,0.924,1.6,,92,121,8,27.601,10.209,1.6041,0.1935,203.8851,0.0,1232,411.612,45.551,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,42.418,26.331,903.626,6.473,35.86,24.299,24.638,19.05,7.735,46.987,0.2157,1.2756,1.4555,40.281,9.281,0.1526,0.9228,0.4863,4,opened_or_broad,flat_span_over_pi,0.2975,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima10~13,,10|11|12|13,,,,15,1885,2469,15,1,shimask_red_outline_from_raw_difference,41.74,25.15,0.603,,check,,864.3,325.369,37.647,202,23.372,0.925,1,0.004,0,7.49,31.03,5,0.961,1.65,,68,134,8,25.46,12.187,1.6107,0.1254,194.1145,0.0,1247,393.498,45.53,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,41.741,24.892,864.257,8.929,32.727,23.029,24.215,19.897,7.33,42.204,0.224,1.1574,1.3515,42.435,10.336,0.2139,0.9252,0.4861,5,opened_or_broad,flat_span_over_pi,0.1852,shape_end_complexity,profile_fallback,sinus,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima10~13,,10|11|12|13,,,,16,484,2869,17,1,shimask_red_outline_from_raw_difference,34.97,22.78,0.651,,check,,600.5,21.176,3.527,84,13.989,0.789,1,0.091,0,6.31,29.66,4,0.908,1.54,,77,7,1,3.14,0.387,0.2521,0.1326,3.2115,0.0,299,93.419,15.558,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,34.967,22.606,600.451,5.112,29.771,19.304,20.828,14.139,6.145,29.654,0.2064,1.3653,1.4294,3.798,0.186,0.1462,0.8539,0.2572,4,opened_or_broad,flat_span_over_pi,0.2467,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima10~13,,10|11|12|13,,,,17,994,2909,16,1,shimask_red_outline_from_raw_difference,37.08,15.58,0.42,check,check,,155.6,2.466,1.585,11,7.068,0.419,1,0.045,0,4.1,32.6,4,0.182,1.3,,7,4,0,1.202,0.382,0.2242,0.0573,0.8459,0.0,29,7.34,4.717,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,37.084,12.023,155.598,4.45,32.549,12.277,3.471,1.778,7.816,47.975,0.2401,6.9048,9.3766,2.109,0.074,0.12,1.0211,0.2173,4,folded_half,2x_flat_span_over_pi,0.1948,shape_end_complexity,boundary_sinuses,folded_mouth_proxy,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima10~13,,10|11|12|13,,,,18,1597,2944,18,1,shimask_red_outline_from_raw_difference,34.63,25.91,0.748,,check,,677.6,95.864,14.148,168,24.794,0.858,1,0.01,0,6.87,29.97,4,0.942,1.27,,156,12,5,12.587,1.56,0.5706,0.1577,10.8029,0.0,557,193.749,28.594,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,37,,34.629,25.315,677.548,4.578,29.966,21.59,23.622,16.341,6.872,37.093,0.2293,1.3212,1.2686,15.121,0.05,0.1322,0.8528,0.4416,4,opened_or_broad,flat_span_over_pi,0.0975,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,2,1467,980,1,1,shimask_red_outline_from_raw_difference,40.56,30.82,0.76,,check,,914.9,30.194,3.3,209,22.844,0.868,1,0.318,1,16.87,24.31,2,0.902,1.33,,193,16,0,2.935,0.365,0.1445,0.0717,1.5699,0.0,434,271.691,29.696,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,40.555,30.565,914.938,5.795,34.676,28.363,26.924,17.357,9.028,64.018,0.2604,1.6341,1.2879,3.484,1.767,0.1429,0.928,0.4977,3,opened_or_broad,flat_span_over_pi,0.1613,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,1,871,983,2,1,shimask_red_outline_from_raw_difference,32.51,23.79,0.732,,check,,595.8,84.731,14.221,184,30.883,0.979,1,0.015,0,6.41,30.06,4,0.962,1.34,,171,13,6,13.199,1.023,0.4605,0.1326,5.8136,0.0,561,211.534,35.504,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,32.512,23.622,595.77,3.901,28.526,22.267,20.574,12.7,7.088,39.457,0.2485,1.7533,1.3865,15.389,3.84,0.12,0.9427,0.4917,4,opened_or_broad,flat_span_over_pi,0.2162,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,3,1902,999,3,1,shimask_red_outline_from_raw_difference,35.9,25.48,0.71,,check,,704.0,88.236,12.534,169,24.006,0.988,1,0.02,0,10.94,30.85,3,0.952,1.3,,161,8,7,11.697,0.837,0.5221,0.1434,9.1684,0.0,583,211.706,30.072,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,35.899,25.315,704.028,4.965,30.849,17.187,24.807,17.441,5.471,23.508,0.1773,0.9854,1.2436,13.162,0.535,0.1383,0.6789,0.419,3,opened_or_broad,flat_span_over_pi,0.1955,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,4,486,1032,4,1,shimask_red_outline_from_raw_difference,34.88,26.92,0.772,,check,,615.7,11.928,1.937,115,18.677,0.861,1,0.47,1,15.47,26.5,2,0.952,1.12,,103,12,0,1.543,0.395,0.1037,0.0573,0.9319,0.0,238,188.552,30.623,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,34.883,26.331,615.705,8.294,26.504,24.299,21.759,13.293,7.735,46.987,0.2918,1.828,1.2181,2.243,0.539,0.2378,0.9228,0.4322,2,opened_or_broad,flat_span_over_pi,0.4641,guide_density_secondary,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,5,476,1569,5,1,shimask_red_outline_from_raw_difference,38.1,29.04,0.762,,check,,880.3,342.172,38.871,217,24.651,0.984,1,0.008,0,7.95,24.15,6,0.965,1.3,,133,84,8,25.836,13.035,1.5768,0.129,207.118,0.0,1909,493.655,56.079,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,38.1,28.871,880.279,4.572,33.443,28.109,25.739,17.272,8.947,62.877,0.2675,1.6275,1.2993,38.318,44.685,0.12,0.9736,0.5612,8,opened_or_broad,flat_span_over_pi,0.1314,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
Oshima,1,oshima13~15,,13|14|15,,,,6,1176,1629,6,1,shimask_red_outline_from_raw_difference,43.77,31.41,0.718,,check,,1065.1,307.426,28.863,248,23.284,0.983,1,0.124,1,17.03,39.31,3,0.953,1.4,,180,68,12,22.712,6.151,1.2396,0.1649,127.1611,0.0,1415,539.791,50.679,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,,0,0,356,,43.773,31.327,1065.095,5.253,38.435,29.21,28.617,17.611,9.298,67.897,0.2419,1.6587,1.3431,30.24,12.433,0.12,0.9324,0.4904,3,opened_or_broad,flat_span_over_pi,0.1804,shape_end_complexity,boundary_sinuses,,,,auto_unreviewed,,,,,,,,,
